rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime,num_benchmarks,num_rows
"(0.5, 0.9, 0.5)",0.5,0.9,0.5,2.1901924405151587,1.4502704167789144,3.1770723660113127,4,4
"(0.5, 0.9, 0.6)",0.5,0.9,0.6,2.0022534959552285,1.4778122748606923,2.960106034418331,4,4
"(0.5, 0.9, 0.7)",0.5,0.9,0.7,1.851934138835037,1.4998332344135226,2.7761161681109896,4,4
"(0.5, 0.9, 0.8)",0.5,0.9,0.8,1.7979820256853176,1.5194480861718531,2.7328128923948363,4,4
"(0.5, 0.9, 0.9)",0.5,0.9,0.9,1.7979820256853176,1.5443975176410243,2.774612353765042,4,4
"(0.5, 0.9, 1.0)",0.5,0.9,1.0,1.7979820256853176,1.5716935830126793,2.828174919943393,4,4
"(0.5, 0.9, 1.1)",0.5,0.9,1.1,1.7979820256853176,1.5958455107656684,2.8700415299373305,4,4
"(0.5, 0.9, 1.2)",0.5,0.9,1.2,1.7979820256853176,1.618998377110523,2.909755891663744,4,4
"(0.5, 0.9, 1.3)",0.5,0.9,1.3,1.7979820256853176,1.639914324549891,2.950454844423921,4,4
"(0.5, 0.9, 1.4)",0.5,0.9,1.4,1.7979820256853176,1.6646724633720746,2.9918472431136607,4,4
"(0.5, 0.9, 1.5)",0.5,0.9,1.5,1.7979820256853176,1.6885723768760703,3.0373834920243716,4,4
"(0.5, 0.9, 1.6)",0.5,0.9,1.6,1.7979820256853176,1.706312846199831,3.0691973853425703,4,4
"(0.5, 0.9, 1.7)",0.5,0.9,1.7,1.7979820256853176,1.7293633097518815,3.1082988803845217,4,4
"(0.5, 0.9, 1.8)",0.5,0.9,1.8,1.7979820256853176,1.7500238898898097,3.1485726843365085,4,4
"(0.5, 0.9, 1.9)",0.5,0.9,1.9,1.7979820256853176,1.7737577797786128,3.1878719089248846,4,4
